video_name,Sentiment,joy,excited,surprise_pos,surprise_neg,worry,sadness,fear,disgust,frustration,anger,Reasoning_1,Reasoning_2,Reasoning_3
10-Ben-Conclusion_24363254,2,3,2,1,1,1,1,1,1,1,1,presenting 2 different directions that people can branch off to...with no judgment...flat expression.  Matter-of-fact,head tiled down and head tiled up ..  eye brow raised ,slight smile on face when signing the statement suggesting postive cues 
10-Ben-Conclusion_24480520,-1,1,1,1,3,1,3,1,1,3,2,"raised brows to indicate a possibility, but then lowering them to indicate what really did happen","not allowed, raised eye brow,  eye gaze attention, focused,  body posture emotional ",Furrowed brows show dissapointment and surprise
10-Ben-Conclusion_29052074,-1,1,1,1,1,1,1,1,3,4,1,role shifting to depicit the views of general society when viewing Deaf people...including expressions of disgust and patronization,"eyes closed, eyes blinked, head shake,  pouted lips ",shaking head and eyebrows furrowed suggest confusion 
2-Ben-Voice-Identity_64778101,2,2,3,3,1,1,1,1,1,1,1,excellent use of different eye gaze directions to shift between the phone convo he is having and narrating this to his audience," wide eyes,  facial expression showing approval, phone conservation head nodding approval ","His facial expression with the pursed lips show intense concentration and the way the eyes widen when ""smart"" is signed shows surprise. THe way the brows raised and the signs are at an even pace when he says meet tomorrow reflect positive emotions"
2-Ben-Voice-Identity_65086412,-1,1,1,1,3,1,1,1,1,3,1,neutral brows indicate that this was a statement...waiting to be flavorized by subsequent expressions and/or signs,"facial show worried,  head movement,  head nod  showing affirmation ","head shake and the way the emphasized eye blinking during ""not match"" shows negative emotions, possibly some frustration "
2-Ben-Voice-Identity_65174582,-1,1,1,1,1,1,1,1,1,3,1,I would characterize this emotion as imposing...describing something mysterious,"emotion  show worry, frustrated,  finger spelled ( emphasized ) with eye brow ",prominent frown among the whole clip suggests negative emotions along with the body movement during the word characteristics seems agressive and supports the negative emotions
2-Ben-Voice-Identity_66058307,-1,1,1,1,2,1,1,1,1,1,1,'and worse' at the beginning...moreso.  his furrowed brows draw the viewer in to see what is going to be said next...,"eye widen,  furrowed brows, pouted lips ","Eyebrows furrowed, head shaking, eyes wide when signing ""and worst"" "
Cory_2013-6-25_sc0106_83664512,2,4,4,3,1,1,1,1,1,1,1,how he smiles slightly throughout the clip signifies that this is a piece of good news,"mouth open, looking suprised ","smiling the whole time, the word transfer was slightly bigger and wider than the rest of the statement suggesting surprise "
Cory_2013-6-27_sc107_1372,3,4,4,3,1,1,1,1,1,1,1,"widened eyes, sign for 'awesome', pause before 'wow' for emphasis",wow: eye wide ,"the sign of ""very or extremely"" is the claw-shaped hand moving left and right by the head emphasizing, eye squirting more emphasizing, use both hand shows for the word ""amazing"" shows more emphasizing"
Cory_2013-6-27_sc107_1575,3,4,4,4,1,1,1,1,1,1,1,paused before doing the kiss-fist for emphasis,kissfist  and  show excitement with  open mouth ( 0) ,"the pouted lips emphasizing joy/excited when signing ""ohhh"" in the middle of ""car"" and ""kissfis"""
